URY,,13.9,13.9,15.3,15.3,15.3,15.3,15.3,17.1,17.1,17.1,17.1,17.1,17.8,17.8,17.8,
VEN,,18,18,18,18,18.2,18.2,18.2,18.2,18.2,,,,,,,
AME,,14.2889,14.2158,18.7952,18.6429,19.681,19.7727,19.4826,20.1583,21.2417,21.8304,21.0522,21.7682,24.2045,26.4,27.1167,
LCM,,11.5,12.9,19.9,19.9,18.5,18.2,18.5,18.2,20.9,21.1,20.9,23.2,24,25.2,25.9,
LCE,,8.27303,8.34858,10.1335,10.63,10.9104,11.0688,15.6488,16.8832,17.1495,16.3888,16.7815,17.4308,18.3691,19.1831,11.5246,
# Series: WOREPLMC,,,,,,,,,,,,,,,,,
"# Name: Women's representation on the local/municipal councils, % of total",,,,,,,,,,,,,,,,,
"# Definition: The definition will vary by source: for example, the UNECE’s definition includes women members of municipal councils and other local area governing bodies, while UNECLAC’s definition captures women elected to city councils. The EIU checked the other UN regional offices’ statistical websites, but they did not have any data for women in the judiciary.",,,,,,,,,,,,,,,,,
# Source: European Commission; United Nations Economic Commission for Women (UNECE); United Nations Economic Commission for Latin America and the Caribbean (UNECLAC),,,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,,
