ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
POL,29075,41860,42973,47951,50449,52402,54184,55172,58848,64045,64525,60454,58938,55640,53841,
PRT,,,9769,,12021,12242,12461,12411,12422,12856,13884,13951,15125,,,
QAT,,,,81,,81,162,,,,,,,,750,
KOR,193647,206121,227958,238946,246773,245529,258932,258430,255421,253150,251093,251161,253404,259440,260356,
ROU,,14863,17000,19370,20348,24533,24560,25705,26796,30088,29941,29906,27694,25759,,
RWA,,,,,,,,,,,,,,,2652,
WSM,,,38,,,,,,,,,,,,,
SMR,,,33,,,,,,,,,,,,,
SAU,53340,63169,36055,55391,45327,50549,69305,70306,66992,109635,115804,122619,102035,109154,139380,
SRB,,,,,,,,,,6620,7451,7540,7795,7920,8284,
SYC,,,,,,,,,,,,,,,0,
SLE,,,576,1115,,,,,,,,,,,,
SGP,,,,,,,,,,,5581,5877,6375,7435,8024,8191
SVK,,3646,3825,3759,4142,4127,4408,4561,4914,5337,5528,5511,5621,5712,5752,
SVN,,1540,1587,1686,1662,1778,1958,2276,2362,2439,2589,2679,2970,2382,2758,
ESP,,72364,73857,75938,74955,74455,73814,73949,72626,72826,75412,74913,81702,87475,,
LKA,,,,,,,,,,,,,35502,31528,37662,
SUR,,,,,30,,,,,,,,,,,
SWZ,,266,313,300,,,342,300,447,,,,,,,
SWE,,15170,15447,15945,17912,20408,21152,20687,20071,19340,20659,22466,24153,24171,,
CHE,,8856,8971,9166,9143,9794,9964,10451,10790,10936,11160,11574,11907,12081,,
TJK,,,,,,,,,,,,,,,21871,
TZA,,419,,,,,,,,,,,,,4156,
THA,,,,,,,,,,,,,,73794,,
TTO,,,172,204,,,312,,,,,,,,,
TUN,,,,,,,,,,,,,19786,,,
TUR,45417,,,46703,45447,42075,69495,44168,86546,76809,82928,93333,129064,156239,,
UGA,,1491,1744,1760,,,2758,,,,,,,,,
UKR,,,,,,,,,,,,,,47164,,
GBR,,,,145937,156105,137637,142683,145945,152525,155320,151070,150151,155281,154825,,
USA,,,,,,,,,,,1225930,1231920,1320550,1361910,,
URY,,,,,,,,,,2758,2758,2791,,,,
UZB,,,,,,,,,12280,11474,12191,13348,11549,11056,,
VEN,,,,,,,,,,,13014,,,,,
VNM,,23618,17532,,9429,9743,,,,17035,21785,23795,25794,33939,,
ZMB,207,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,3534,6266,5799,
ECZ,,,,,,,,,825112,860316,,,,1064420,,
HIS,,,,,,,,,,,2490450,2497230,2612080,2798510,,
LCS,,,,,,,128305,253134,,284042,327264,321940,319344,,,
NAS,,,,,,,,,,,1225930,1231920,1320550,1361910,,
# Series: TEDHUMMA,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, humanities and arts, male",,,,,,,,,,,,,,,,
"# Definition: Number of males enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
