ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
POL,23278,11222,11149,12537,14077,14683,16769,20024,32659,34362,38115,41785,43652,42139,45160,
PRT,,,7392,,9528,10725,11947,12755,13446,14156,14445,14372,14155,,,
QAT,,,,3,,0,0,,,,,,,,213,
KOR,66627,71582,73024,79599,86079,89770,91655,97772,104341,111596,115394,118981,124692,130956,134056,
ROU,,12533,12388,11902,12083,13496,16074,16277,15770,16348,20880,21599,23988,23957,,
RWA,,,,,,,,,,,,,,,2546,
WSM,,,6,,,,,,,,,,,,,
SMR,,,24,,,,,,,,,,,,,
SAU,5667,5354,8305,9873,12087,13783,14342,17528,23751,28707,30291,32126,34816,38789,43211,
SRB,,,,,,,,,,5865,5743,5831,5734,5939,5837,
SLE,,,101,253,,,,,,,,,,,,
SGP,,,,,,,,,,,2947,3447,4003,4270,4590,4875
SVK,,3516,4073,4076,4862,4514,4799,4888,5593,6286,7568,8086,9558,8324,8781,
SVN,,1268,1309,1272,1313,1491,1515,1635,1714,1759,1838,2020,2297,2027,2508,
ESP,,40472,41148,43381,40057,40370,40802,49232,42560,53131,56762,58536,62664,67254,,
LKA,,,,,,,,,,,,,5591,5596,5674,
SWZ,,102,2,56,,,158,199,139,,,,,,,
SWE,,11297,10840,10803,11005,11971,13053,13670,14164,14320,14719,15043,15926,16823,,
CHE,,6101,6017,5840,5832,5959,6142,6242,6437,6975,7981,8416,8746,9267,,
TJK,,,,,,,,,,,,,,,9404,
TZA,,629,,,,,,,,,,,,,6123,
THA,,,,,,,,,,,,,,40424,,
TTO,,,389,459,450,,590,,,,,,,,,
TUN,,,,,,,,,,,,,6173,,,
TUR,48794,,,41370,41991,41953,47772,44434,51496,53821,56570,64978,78022,69835,,
UGA,,878,1767,1209,,,2313,,,,,,,,,
UKR,,,,,,,,,,,,,,32791,,
GBR,,,,90226,98488,82716,85767,89917,95481,87058,96334,99937,102708,104042,,
USA,,,,,,,,,,,559184,548688,586770,605253,,
URY,,,,,,,,,,4867,4854,4900,,,,
UZB,,,,,,,,,10630,10751,10866,11004,10695,10738,,
VEN,,,,,,,,,,,48605,,,,,
VNM,,15849,12664,,16488,17561,,,,25650,29003,30283,38676,41765,,
ZMB,418,,,,,,,,,,,,,,,
ZWE,,,,,,,,,,,,,5772,1751,1751,
ECZ,,,,,,,,,585527,630899,,,,863098,,
HIS,,,,,,,,,,,1460600,1482500,1578550,1797390,,
LCS,,,,,,,310853,392113,,512581,649383,579414,588667,,,
NAS,,,,,,,,,,,559184,548688,586770,605253,,
# Series: TEDHEWMA,,,,,,,,,,,,,,,,
"# Name: Enrollment in tertiary education, health and welfare, male",,,,,,,,,,,,,,,,
"# Definition: Number of males enrolled in tertiary education, per program",,,,,,,,,,,,,,,,
"# Source: UN Educational, Scientific and Cultural Organization (UNESCO) Institute for Statistics",,,,,,,,,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,,,,,,,,
