ISO,2001,2004,2005,2006,2007,2008,2010,2011,2012
ARG,,,,0.96,,,,,
AUS,,,,,,,,0.99,
AUT,,,,,,,,1,
AZE,,,,,,,,0.99,
BLZ,0.46,,,,,,,,
BEN,,,0,,,,,,
BWA,,,,,,,,0.82,
BRA,,,,0.98,,,,,
BGR,,,,,,,,0.98,
BFA,,,,,0.23,,,,
BDI,,,,,,0.44,,,
CMR,,,0.48,,,,,,
CAN,,,,,,,,1,
TCD,,0.23,,,,,,,
CHL,,,,1,,,,,
COL,,,,,,,,0.91,
COM,,,,,,0.11,,,
COG,,,,,0.18,,,,
CRI,,,,1,,,,,
CIV,,,,,,0.07,,,
HRV,,,,,,,,1,
CUB,,,,0.99,,,,,
CYP,0.99,,,,,,,,
CZE,,,,,,,,1,
DNK,,,,,,,,1,
DOM,,,,0.96,,,,,
ECU,,,,0.83,,,,,
SLV,,,,0.99,,,,,
FIN,,,,,,,,1,
FRA,,,,,,,,0.99,
GAB,,,,0.43,,,,,
GEO,,,,,,,,0.99,
DEU,,,,,,,,0.99,
GRC,1,,,,,,,,
GTM,,,,0.89,,,,,
HND,,,,,,,,0.9,
HUN,,,,,,,,0.99,
ISL,,,,1,,,,,
IND,,,,,,,,,0.27
IDN,,,,,,,,0.9,
IRN,,,,,,,,0.87,
IRL,,,,,,,,1,
ISR,,,,,,,,0.98,
ITA,,,,,,,,1,
KEN,,,,,0.89,,,,
KWT,,,,,,,,0.85,
LVA,,,,1,,,,,
LBN,,,,,,,0.27,,
LSO,,,,,0.74,,,,
LTU,,,,,,,,1,
LUX,,,,1,,,,,
MKD,,,,0.9,,,,,
MDG,,,0.07,,,,,,
MWI,,,,,0.55,,,,
MLT,,,,,,,,0.93,
MRT,,0.06,,,,,,,
MUS,,,,,0.82,,,,
MAR,,,,,,,,0.44,
MOZ,,,,,0.62,,,,
NAM,,,,,0.83,,,,
NLD,,,,,,,,1,
NZL,,,,,,,,0.99,
NIC,,,,0.99,,,,,
NOR,,,,,,,,1,
OMN,,,,,,,,0.71,
PAK,,,,,,,,,0.41
PAN,,,,0.95,,,,,
PRY,,,,0.93,,,,,
PER,,,,0.93,,,,,
POL,,,,,,,,0.99,
PRT,,,,,,,,1,
QAT,,,,,,,,0.68,
MDA,,,,0.98,,,,,
ROU,,,,,,,,0.91,
RUS,,,,,,,,1,
SAU,,,,,,,,0.93,
SEN,,,,,0.12,,,,
SYC,,,,,0.91,,,,
SGP,,,,,,,,1,
SVK,,,,,,,,1,
SVN,,,,,,,,1,
ZAF,,,,,,,,0.68,
ESP,,,,,,,,1,
SWZ,,,,,0.98,,,,
SWE,,,,,,,,1,
TZA,,,,,0.92,,,,
TGO,,,,,,,0.04,,
TTO,,,,,,,,0.94,
TUR,0.87,,,,,,,,
UGA,,,,,0.72,,,,
ARE,,,,,,,,0.83,
URY,,,,0.99,,,,,
ZMB,,,,,0.45,,,,
ZWE,,,,,0.79,,,,
ACE,,,,,,,,0.992917,
AME,,,,0.956429,,,,,
ASE,,,,,,,,,0.34
ECM,,,,,,,,1,
LCM,,,,0.96,,,,,
SAM,,,,,,,,,0.27
ECE,,,,,,,,0.640877,
LCE,,,,0.599285,,,,,
SAE,,,,,,,,,0.246653
# Series: WDREQLFE,,,,,,,,,
"# Name: Achieving basics in reading, female, lowest income quintile",,,,,,,,,
# Definition: Percentage of children taking part in an assessment who achieved an international minimum learning standard in reading by hosehold wealth index. (Primary level),,,,,,,,,
# Source: World Inequality Database on Education (WIDE),,,,,,,,,
# Data from the No Ceilings project: http://noceilings.org,,,,,,,,,
"# For more about the data, please visit http://noceilings.org/data",,,,,,,,,
