ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
JOR,1,1,1,1,1,1,1,1,2,2,2,1,2,2,2,2,2
KAZ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
KEN,2,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2
KIR,,,,,,,1,,2,1,1,1,1,1,1,2,2
KWT,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1
KGZ,2,2,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2
LAO,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
LVA,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
LBN,,,,,,,1,1,1,1,1,1,1,1,1,1,1
LSO,1,2,2,,2,2,2,2,2,2,2,2,2,3,2,2,2
LBR,,2,2,2,2,2,2,2,2,2,2,3,2,3,2,2,2
LBY,1,1,1,1,1,1,1,1,,1,1,1,1,2,3,3,1
LIE,,,,,,,2,,2,2,2,2,2,2,2,2,2
LTU,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2
LUX,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,3
MKD,1,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2
MDG,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2
MWI,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2
MYS,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MDV,,,,,,,0,,1,2,2,2,2,2,1,2,2
MLI,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
MLT,,,,,,,1,,2,2,2,2,2,2,2,2,2
MHL,,,,,,,1,,1,1,1,2,1,3,2,2,2
MRT,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
MUS,2,2,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2
MEX,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FSM,,,,,,,1,,1,1,1,1,1,1,1,1,1
MCO,,,,,,,2,,1,2,2,2,2,2,2,2,2
MNG,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2
MNE,,,,,,,,,,,,1,1,2,2,2,2
MAR,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2
MOZ,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,3,3
MMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
NAM,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2
NRU,,,,,,,1,,2,1,1,1,1,1,1,1,1
NPL,1,1,1,1,2,2,2,2,2,2,2,1,1,3,2,2,3
NLD,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3
NZL,3,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3
NIC,2,2,2,2,2,2,2,2,3,2,2,2,2,3,2,2,2
NER,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
NGA,1,1,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2
NOR,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
OMN,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2
PAK,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
PLW,,,,,,,1,,1,2,2,1,1,2,2,2,2
PAN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PNG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PRY,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PER,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PHL,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
POL,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
PRT,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
QAT,,,,,,,0,,1,1,1,1,1,1,1,1,1
KOR,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2
