ISO,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ALB,,,486,509,,956,1297,,,,,,,3757,5147,
DZA,,,,,,,,6555,8472,,,,6907,,,
ARG,,,,,,46662,,60769,65575,71545,72845,79416,84937,92308,,
AUS,32816,30000,31741,19632,36153,34715,34303,35594,36396,38134,38614,42207,47375,49168,,
AUT,,4596,,,,3609,4392,4888,5257,4754,5879,7561,8450,8586,,
AZE,,,,,,,,,,,12895,12678,13005,13069,13356,
BHR,,,,,,648,,633,551,,,,,,,
BGD,,,,,1101,1234,1460,1898,,2171,3907,5735,,,,
BRB,,,,,,,,,,,,,1704,526,,
BLR,,,,,,,,15589,18092,20125,20511,22244,24446,26563,27837,
BEL,,,6421,5851,5527,5124,6416,4328,6019,7519,6486,6224,6904,8394,,
BEN,,,,,,,,,,,,1864,,1925,,
BOL,,,961,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,4856,5103,
BRA,,,,,80707,90602,94192,94792,,100295,110906,120522,138613,,,
BGR,,20060,17599,14922,13675,13675,14856,16468,18533,20621,21010,21930,23831,24244,,
BFA,,,,,,,,,51,106,225,512,168,1690,2107,
KHM,,,,377,1650,,2351,,,,,,,,,
CMR,,,,,,,,,467,849,630,728,882,,,
CAN,50056,,,,,,,,,,,,,,,
CPV,,,,,,,,,,,171,145,420,361,112,
CAF,,,,,,,,,,,,,,37,,
CHL,,,,,,,29336,35115,46687,62860,54295,62757,75344,88379,101522,
COL,,,,,,,,,,,,,,55613,58422,
COM,,,,,,74,,,,,,,,,498,
COG,,,,,27,,,,,,,,,,,
CRI,,,,,,,3566,,,,,,,,,
CIV,,,,,,,,,,6709,,6757,5985,,,
HRV,,15424,,15676,17039,17812,,18142,13871,14228,14160,12272,12393,11842,,
CUB,,,,,,,,,,70676,78641,74434,53466,41524,26472,
CYP,,2528,1831,1525,2165,2519,3780,2766,1896,1348,1830,1832,1371,1443,,
CZE,,8760,8189,11506,10099,11516,14128,15084,17836,14840,19309,21178,22549,23669,,
COD,,,,,,,,,,,,,,568,8089,
DNK,,3112,3727,3964,4131,4379,4223,4726,5298,5051,5058,5020,5640,,,
DJI,,,,,,,69,,82,,,168,,68,,
ECU,,,,,,,,,,,20099,,,,,
SLV,,,,,100,41,,27,17,51,35,26,50,77,87,
EST,,2903,3174,3364,3754,4458,5080,5806,5800,5548,5363,5343,5515,,,
ETH,,,,38,23,,480,468,,,,,791,,,
FIN,9997,10599,10737,11283,11572,12630,13149,14385,14919,15188,15326,15152,15345,16529,,
FRA,,,,,,,,,76906,73034,71566,73101,76177,75930,,
GEO,,5140,4408,3839,4319,4870,4856,5726,4571,3550,,,3004,,5312,
DEU,,,46659,48871,50842,52882,,,,,,,,73782,,
GHA,,,,,,,,,,,2302,1763,,2319,3322,
GRC,,,,,26616,,19123,32519,,18455,,,16733,,,
GRD,,,,,,,,,,,,6,,,,
GIN,,,,,,,320,,480,,2690,1471,,,,
GUY,,,,,,,43,,56,52,,,73,17,93,
HND,,,,,,955,,,,,,,2233,,2475,
