ISO,2012,2013
AUT,1,1
BEL,0,0
BGR,1,1
HRV,0,0
CYP,0,0
CZE,0,0
DNK,1,2
EST,1,1
FIN,1,1
FRA,1,0
DEU,0,0
GRC,0,0
HUN,1,1
ISL,1,1
IRL,0,0
ITA,0,0
LVA,0,0
LIE,1,1
LTU,0,0
LUX,0,0
MKD,0,0
MLT,0,0
NLD,1,1
NOR,1,1
POL,0,0
PRT,1,0
ROU,1,2
SRB,1,1
SVK,0,0
SVN,0,0
ESP,1,1
SWE,3,3
TUR,0,0
GBR,0,0
# Series: WSENVMIN,,
# Name: Women senior environment ministers,,
# Definition: Number of women senior environment ministers,,
# Source: European Commission,,
# Data from the No Ceilings project: http://noceilings.org,,
"# For more about the data, please visit http://noceilings.org/data",,
