ISO,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
ITA,,,,,85.893,85.8,89.557,91.067,92.006,93.3,92.933,93.192,92.307,93.711,93.239,94.229,92.427,,
JAM,,,,,82.961,78.745,77.772,78.737,79.513,84.832,85.492,,,,,,76.144,,
JPN,,,,,,,,,,,,98.51,97.964,98.225,98.585,99.207,99.411,99.526,
JOR,,,,,80.876,81.384,,85.71,87.003,86.17,84.588,87.311,87.188,88.8,,,89.368,,
KAZ,,,,,,91.329,89.753,88.591,91.238,91.103,89.138,88.225,86.782,85.423,85.742,86.92,86.805,85.702,
KEN,,,,,,33.083,,34.521,35.759,39.317,41.273,41.462,42.029,48.423,48.405,,,,
KIR,,,,,,,,,77.171,76.733,73.362,,,,,,,,
KWT,,98.545,100,,100,98.723,98.202,93.861,,,,89.492,87.882,,,,,,
KGZ,,,,,,,,,,82.455,80.944,81.351,81.182,80.93,79.476,78.502,79.945,,
LAO,,,17.956,20.285,22.534,24.064,25.767,26.718,29.931,31.576,31.863,31.214,32.036,33.08,34.446,36.253,36.82,39.713,
LVA,,,,,,,,,,,,,,93.58,90.355,87.55,86.137,84.375,
LBN,,,,,,,,,,,,69.306,69.282,69.078,69.857,68.607,69.722,67.604,
LSO,,25.062,,20.064,23.595,25.566,27.656,28.14,28.695,29.562,31.419,31.174,32.674,34.646,37.352,40.552,40.753,40.824,
LIE,,,,,,,,,87.687,68,,,,86.73,85.734,85.8,85.857,,
LTU,84.638,,,89.576,90.492,91.87,93.107,94.704,96.394,97.74,98.142,97.715,97.581,97.796,98.519,98.64,98.108,96.446,
LUX,,72.189,72.21,,86.325,86.46,83.959,82.706,82.64,82.188,85.682,85.589,85.68,86.129,,88.215,88.29,,
MKD,,,,,,,,,,,76.513,,,,,,,,
MDG,,,,,,,,,,,,,21.575,23.546,,,29.799,31.075,
MWI,,,,,26.741,26.897,25.556,24.529,,22.495,21.783,23.381,23.182,25.249,25.985,27.646,28.543,28.696,
MYS,,,,69.685,68.861,68.978,68.203,68.269,74.219,74.519,69.825,68.319,65.859,65.494,64.601,65.614,65.598,,
MDV,,,,,32.974,41.598,,53.09,,,,,,,,,,,
MLI,,,,,,,,,,,,,,23.524,24.639,27.033,28.423,,
MLT,74.02,75.307,73.716,72.66,71.159,73.307,72.271,74.003,78.912,82.837,83.221,82.427,,78.506,,79.098,,83.698,
MHL,,,,,,,,64.453,,,,,64.729,,,,,,
MRT,,,,,,,12.251,12.002,,11.943,13.199,13.517,,,,,,,
MUS,,,,65.262,66.493,67.609,69.901,74.098,,80.728,,,,,,,,,
MEX,,,,,52.959,53.993,,58.187,60.704,62.22,63.636,64.955,66.722,67.963,68.396,68.643,68.837,69.382,
MNG,68.017,69.019,66.038,67.362,65.215,68.718,74.526,77.747,81.957,85.287,87.28,86.07,,,,,81.563,85.328,
MOZ,4.997,,,,2.262,2.661,2.84,3.58,,3.53,6.073,7.897,9.395,11.065,13.542,15.139,16.657,17.316,
MMR,,,,,28.348,32.733,33.871,33.471,34.114,38.538,39.935,42.506,43.583,,46.33,48.034,,,
NAM,,,,41.498,44.014,47.792,49.795,54.54,51.992,53.37,55.103,56.018,57.476,,,,,,
NPL,,,,,,,,,,,,,43.535,,,51.089,56.524,60.096,61.147
NLD,91.584,91.56,90.1,,91.977,,,90.506,89.437,89.967,88.393,89.504,89.221,88.649,88.07,88.428,89.876,90.823,
NZL,90.418,93.884,92.164,91.012,,,,92.378,,,,,,,95.053,95.232,97.081,97.087,
NIC,,,,,,37.562,39.495,41.826,,43.47,45.641,46.491,,,,48.539,,,
NER,,,4.156,,4.311,,4.288,4.444,4.976,6.036,7.081,,7.111,7.572,7.673,9.476,9.71,,
NOR,,,96.841,96.578,95.675,95.241,94.851,94.73,95.608,96.721,97.309,97.683,97.795,96.939,96.227,95.966,95.861,95.539,
OMN,,,,,65.627,68.982,72.476,73.263,73.626,,,,,,83.334,,86.33,,
PAK,,,,,,,,,,,,26.444,28.122,28.401,29.207,,29.573,30.59,
PAN,,,,,59.818,61.517,63.133,63.971,,64.19,64.193,,,65.517,65.696,67.807,67.476,79.317,
PRY,,38.82,,43.614,46.722,,52.926,54.547,56.106,58.322,59.13,59.707,60.211,61.586,62.08,63.288,64.867,,
PER,52.495,,,61.104,61.937,64.016,66.823,67.472,,67.87,68.857,71.112,74.503,75.788,77.958,77.455,77.475,,
PHL,,,,50.869,52.16,,55.347,59.926,62.666,64.924,64.7,64.957,65.77,66.213,66.742,,,,
POL,,,,,91.763,91.829,92.558,93.171,93.186,91.799,93.137,93.154,92.946,92.582,91.998,91.573,91.092,91.155,
PRT,78.297,,,,84.214,84.982,82.63,81.923,84.527,,85.978,85.881,,,,,,,
QAT,,,,80.98,79.459,,,82.316,,96.099,94.731,96.638,94.183,,100,100,100,,
KOR,,99.146,100,97.172,96.219,95.343,95.339,94.328,94.545,94.815,95.45,94.941,94.718,94.417,95.24,95.578,95.101,95.552,
MDA,,,,,,79.326,79.261,80.23,81.72,83.182,83.224,83.057,81.854,85.218,80.483,79.316,78.391,78.332,
ROU,,72.618,73.722,75.809,77.735,77.814,79.058,78.134,77.548,77.04,77.569,78.415,79.102,79.871,80.698,,,,
KNA,,,,,,98.944,100,84.796,84.935,83.2,82.756,,84.238,92.488,93.98,87.689,88.128,,
LCA,,,,,68.405,69.505,67.531,67.558,70.525,61.388,74.312,78.578,82.417,82.802,85.535,84.194,84.207,83.637,
VCT,,,,,,78.377,73.361,79.167,75.014,79.199,84.793,,,95.567,92.572,86.532,,,
WSM,44.222,,,73.032,75.027,69.104,70.473,,,,,,,,85.902,85.578,85.797,84.378,
SMR,,,,,,,,,,,,,,,,,92.074,,
STP,,,,,,,,,29.269,26.308,32.611,,33.887,,,,,,
SEN,,,,,,,,,,13.56,15.143,18.048,,,,,,,
SRB,,,,,,,,,,,,,,90.756,91.416,91.051,91.014,91.367,
SYC,87.37,88.674,,95.627,92.939,92.182,90.317,92.662,96.3,97.877,100,,100,100,100,97.367,99.643,,
SVN,,,,90.24,91.565,,,,,92.46,92.023,91.597,92.799,92.651,93.028,93.461,93.619,93.832,
SLB,,,,,20.47,16.802,20.113,25.869,,,,30.731,28.882,,,,,,
ZAF,,,,,65.486,64.566,,,,,,,,,,,,,
